Image,Current,C-Uncertainty,Angle,A-Uncertainty
IMG_5516,0,0.01,0.62,0.01
IMG_5517,0.22,0.01,5.5300000000000002,0.01
IMG_5518,0.39000000000000001,0.01,12.02,0.01
IMG_5519,0.57999999999999996,0.01,17.41,0.01
IMG_5520,0.80000000000000004,0.01,22.02,0.01
IMG_5521,1.04,0.01,25.84,0.01
IMG_5522,1.2,0.01,28.59,0.01
IMG_5523,1.4199999999999999,0.01,31.649999999999999,0.01
IMG_5524,0,0.01,0.47999999999999998,0.01
IMG_5525,0.23000000000000001,0.01,6.8300000000000001,0.01
IMG_5526,0.41999999999999998,0.01,12.630000000000001,0.01
IMG_5527,0.58999999999999997,0.01,17.780000000000001,0.01
IMG_5528,0.88,0.01,23.489999999999998,0.01
IMG_5529,1.01,0.01,25.510000000000002,0.01
IMG_5530,1.21,0.01,27.82,0.01
IMG_5531,1.3999999999999999,0.01,30.84,0.01
IMG_5532,0,0.01,0.56999999999999995,0.01
IMG_5533,0.26000000000000001,0.01,6.6200000000000001,0.01
IMG_5534,0.46000000000000002,0.01,13.65,0.01
IMG_5535,0.56999999999999995,0.01,16.879999999999999,0.01
IMG_5536,0.78000000000000003,0.01,21.649999999999999,0.01
IMG_5537,1.01,0.01,25.469999999999999,0.01
IMG_5538,1.2,0.01,28.289999999999999,0.01
IMG_5539,1.4099999999999999,0.01,31.23,0.01
IMG_5540,0,0.01,0.56999999999999995,0.01
IMG_5541,0.17999999999999999,0.01,4.1100000000000003,0.01
IMG_5542,0.39000000000000001,0.01,11.300000000000001,0.01
IMG_5543,0.60999999999999999,0.01,17.82,0.01
IMG_5544,0.82999999999999996,0.01,22.640000000000001,0.01
IMG_5545,1.0600000000000001,0.01,25.98,0.01
IMG_5546,1.22,0.01,28.440000000000001,0.01
IMG_5547,1.4199999999999999,0.01,30.93,0.01
IMG_5548,0,0.01,0.66000000000000003,0.01
IMG_5549,0.19,0.01,4.3700000000000001,0.01
IMG_5550,0.44,0.01,13.25,0.01
IMG_5551,0.60999999999999999,0.01,18.140000000000001,0.01
IMG_5552,0.81999999999999995,0.01,22.350000000000001,0.01
IMG_5553,0.98999999999999999,0.01,25.050000000000001,0.01
IMG_5554,1.1799999999999999,0.01,27.780000000000001,0.01
IMG_5555,1.3799999999999999,0.01,30.41,0.01
